method,n,p,df,rho,SNR,rep,mse
OLS,50,25,1,0.8,1.0,17,31.445737641196157
OLS,50,25,1,0.8,1.0,18,69.33026988540192
OLS,50,25,1,0.8,1.0,19,43.221395507767255
LAD,50,25,1,0.8,1.0,0,23.819390319933362
LAD,50,25,1,0.8,1.0,1,24.79202602714307
LAD,50,25,1,0.8,1.0,2,18.81747033570703
LAD,50,25,1,0.8,1.0,3,31.91114461360149
LAD,50,25,1,0.8,1.0,4,29.457136205424536
LAD,50,25,1,0.8,1.0,5,15.609543860084148
LAD,50,25,1,0.8,1.0,6,28.664125152489078
LAD,50,25,1,0.8,1.0,7,23.887175338068836
LAD,50,25,1,0.8,1.0,8,43.57741018992535
LAD,50,25,1,0.8,1.0,9,22.193562291106105
LAD,50,25,1,0.8,1.0,10,24.86008095943229
LAD,50,25,1,0.8,1.0,11,34.71360681772394
LAD,50,25,1,0.8,1.0,12,25.609255046442925
LAD,50,25,1,0.8,1.0,13,18.651747968056046
LAD,50,25,1,0.8,1.0,14,23.258771090747885
LAD,50,25,1,0.8,1.0,15,33.0310239050494
LAD,50,25,1,0.8,1.0,16,31.400809156061918
LAD,50,25,1,0.8,1.0,17,19.541946652613486
LAD,50,25,1,0.8,1.0,18,13.92802774849693
LAD,50,25,1,0.8,1.0,19,37.25668499075502
Huber,50,25,1,0.8,1.0,0,90.25547184195125
Huber,50,25,1,0.8,1.0,1,4.258497808482933
Huber,50,25,1,0.8,1.0,2,38.367482868571464
Huber,50,25,1,0.8,1.0,3,35.66299779429759
Huber,50,25,1,0.8,1.0,4,0.36545594924454267
Huber,50,25,1,0.8,1.0,5,10.945676401267793
Huber,50,25,1,0.8,1.0,6,0.0006443699760317908
Huber,50,25,1,0.8,1.0,7,1.9149083910204014
Huber,50,25,1,0.8,1.0,8,58.71291941407701
Huber,50,25,1,0.8,1.0,9,37.26921025428738
Huber,50,25,1,0.8,1.0,10,0.30036355831873374
Huber,50,25,1,0.8,1.0,11,108.39862798785549
Huber,50,25,1,0.8,1.0,12,122.29636194775937
Huber,50,25,1,0.8,1.0,13,50.754778270139305
Huber,50,25,1,0.8,1.0,14,13.700337645379062
Huber,50,25,1,0.8,1.0,15,608.9645213793526
Huber,50,25,1,0.8,1.0,16,16.102958711265845
Huber,50,25,1,0.8,1.0,17,1.8849234666318875
Huber,50,25,1,0.8,1.0,18,24.542543480904634
Huber,50,25,1,0.8,1.0,19,79.20135941617984
OLS,50,25,1,0.8,3.0,0,88.38676468857686
OLS,50,25,1,0.8,3.0,1,20.359868625265115
OLS,50,25,1,0.8,3.0,2,47.87077405660888
OLS,50,25,1,0.8,3.0,3,92.79276093918511
OLS,50,25,1,0.8,3.0,4,73.9193859361912
OLS,50,25,1,0.8,3.0,5,26.298224105545813
OLS,50,25,1,0.8,3.0,6,78.62327991065108
OLS,50,25,1,0.8,3.0,7,9.109342073382182
OLS,50,25,1,0.8,3.0,8,55.79661393029468
OLS,50,25,1,0.8,3.0,9,12.234556751158026
OLS,50,25,1,0.8,3.0,10,108.21753358193533
OLS,50,25,1,0.8,3.0,11,12.61928836192605
OLS,50,25,1,0.8,3.0,12,33.656802363349925
OLS,50,25,1,0.8,3.0,13,31.325868834736813
OLS,50,25,1,0.8,3.0,14,38.195900254604105
OLS,50,25,1,0.8,3.0,15,9.528263951338893
OLS,50,25,1,0.8,3.0,16,41.214185220655345
OLS,50,25,1,0.8,3.0,17,26.137425385044757
OLS,50,25,1,0.8,3.0,18,38.59714771004073
OLS,50,25,1,0.8,3.0,19,8.107809679910293
LAD,50,25,1,0.8,3.0,0,32.441686885454864
LAD,50,25,1,0.8,3.0,1,19.37758826219136
LAD,50,25,1,0.8,3.0,2,17.069278383382507
LAD,50,25,1,0.8,3.0,3,41.978852323069326
LAD,50,25,1,0.8,3.0,4,36.52820713527331
LAD,50,25,1,0.8,3.0,5,38.38296110423453
LAD,50,25,1,0.8,3.0,6,24.6305834439082
LAD,50,25,1,0.8,3.0,7,24.98534555083026
LAD,50,25,1,0.8,3.0,8,28.49285081379659
LAD,50,25,1,0.8,3.0,9,22.753919033654295
LAD,50,25,1,0.8,3.0,10,36.2461154189773
LAD,50,25,1,0.8,3.0,11,31.66978992673726
LAD,50,25,1,0.8,3.0,12,22.020132181559877
LAD,50,25,1,0.8,3.0,13,24.27273081320637
LAD,50,25,1,0.8,3.0,14,28.82346428351746
LAD,50,25,1,0.8,3.0,15,32.152290324235175
LAD,50,25,1,0.8,3.0,16,13.281614923019099
LAD,50,25,1,0.8,3.0,17,26.29781496871197
LAD,50,25,1,0.8,3.0,18,22.056637123570106
LAD,50,25,1,0.8,3.0,19,16.53197103220653
Huber,50,25,1,0.8,3.0,0,12.084352634394145
Huber,50,25,1,0.8,3.0,1,21.53563602437385
Huber,50,25,1,0.8,3.0,2,4.259759460714556
Huber,50,25,1,0.8,3.0,3,0.8866734533881014
Huber,50,25,1,0.8,3.0,4,5.370714239137595
Huber,50,25,1,0.8,3.0,5,5.045807150226272
Huber,50,25,1,0.8,3.0,6,2.552696692317686
Huber,50,25,1,0.8,3.0,7,15.043703507121675
Huber,50,25,1,0.8,3.0,8,0.14764618886490824
Huber,50,25,1,0.8,3.0,9,2.206165047397542
Huber,50,25,1,0.8,3.0,10,3.83964532725281
Huber,50,25,1,0.8,3.0,11,0.016646947871436873
Huber,50,25,1,0.8,3.0,12,1.3376856142113465
Huber,50,25,1,0.8,3.0,13,10.128660169051798
Huber,50,25,1,0.8,3.0,14,6.8026682373671
Huber,50,25,1,0.8,3.0,15,2.1516835208611207
Huber,50,25,1,0.8,3.0,16,1.968622794710017
Huber,50,25,1,0.8,3.0,17,0.1288404404182543
Huber,50,25,1,0.8,3.0,18,0.22451868600576988
Huber,50,25,1,0.8,3.0,19,0.2734404917274784
OLS,50,25,1,0.8,5.0,0,51.431368094312525
OLS,50,25,1,0.8,5.0,1,73.52188423599952
OLS,50,25,1,0.8,5.0,2,75.81941950462698
OLS,50,25,1,0.8,5.0,3,6.294706697883225
OLS,50,25,1,0.8,5.0,4,6.164296795671741
OLS,50,25,1,0.8,5.0,5,32.43582827936287
OLS,50,25,1,0.8,5.0,6,40.577117470904554
OLS,50,25,1,0.8,5.0,7,6.4170709064655
OLS,50,25,1,0.8,5.0,8,28.1411464430895
OLS,50,25,1,0.8,5.0,9,5.379465630392956
OLS,50,25,1,0.8,5.0,10,33.330073176712325
OLS,50,25,1,0.8,5.0,11,19.0241865048549
OLS,50,25,1,0.8,5.0,12,11.06791578973407
OLS,50,25,1,0.8,5.0,13,24.38207557184325
OLS,50,25,1,0.8,5.0,14,19.521030610538798
OLS,50,25,1,0.8,5.0,15,64.77920682105217
OLS,50,25,1,0.8,5.0,16,9.588148208639218
OLS,50,25,1,0.8,5.0,17,18.274976897077167
OLS,50,25,1,0.8,5.0,18,9.074403866849869
OLS,50,25,1,0.8,5.0,19,15.3268034735529
LAD,50,25,1,0.8,5.0,0,24.515380808449375
LAD,50,25,1,0.8,5.0,1,17.402602790549704
LAD,50,25,1,0.8,5.0,2,24.800197758195953
LAD,50,25,1,0.8,5.0,3,26.854990251742517
LAD,50,25,1,0.8,5.0,4,13.675304631946558
LAD,50,25,1,0.8,5.0,5,14.578680036658113
LAD,50,25,1,0.8,5.0,6,35.817951478632324
LAD,50,25,1,0.8,5.0,7,18.356924221425494
LAD,50,25,1,0.8,5.0,8,22.527400924163842
LAD,50,25,1,0.8,5.0,9,20.528790529291587
LAD,50,25,1,0.8,5.0,10,24.155919969149775
LAD,50,25,1,0.8,5.0,11,29.72162808343233
LAD,50,25,1,0.8,5.0,12,21.661627358626205
LAD,50,25,1,0.8,5.0,13,20.111315607197668
LAD,50,25,1,0.8,5.0,14,22.86823629557593
LAD,50,25,1,0.8,5.0,15,33.771301574848884
LAD,50,25,1,0.8,5.0,16,32.3403316305134
LAD,50,25,1,0.8,5.0,17,24.070393364915265
LAD,50,25,1,0.8,5.0,18,17.870581729141087
LAD,50,25,1,0.8,5.0,19,18.58106729065588
Huber,50,25,1,0.8,5.0,0,0.10149780933508346
Huber,50,25,1,0.8,5.0,1,0.9667119767716922
Huber,50,25,1,0.8,5.0,2,9.073907594776177
Huber,50,25,1,0.8,5.0,3,0.21073964466455636
Huber,50,25,1,0.8,5.0,4,1.831279221721109
Huber,50,25,1,0.8,5.0,5,3.37647607681772
Huber,50,25,1,0.8,5.0,6,1.0314022028734673
Huber,50,25,1,0.8,5.0,7,0.9139446196417741
Huber,50,25,1,0.8,5.0,8,0.20511523806967805
Huber,50,25,1,0.8,5.0,9,0.763429971745128
Huber,50,25,1,0.8,5.0,10,6.738814108511123
Huber,50,25,1,0.8,5.0,11,1.474876919453252
Huber,50,25,1,0.8,5.0,12,0.0001328982080656036
Huber,50,25,1,0.8,5.0,13,5.502694425570199
Huber,50,25,1,0.8,5.0,14,0.3507963982149835
Huber,50,25,1,0.8,5.0,15,5.244847644772786
Huber,50,25,1,0.8,5.0,16,1.5431521328350164
Huber,50,25,1,0.8,5.0,17,3.664519977751821
Huber,50,25,1,0.8,5.0,18,10.18501356421218
Huber,50,25,1,0.8,5.0,19,5.2227940580803445
OLS,50,25,5,0.8,1.0,0,135.66679674055453
OLS,50,25,5,0.8,1.0,1,98.07025671040563
OLS,50,25,5,0.8,1.0,2,136.97143296456375
OLS,50,25,5,0.8,1.0,3,16.862773702580547
OLS,50,25,5,0.8,1.0,4,61.253521363894194
OLS,50,25,5,0.8,1.0,5,254.87675804277632
OLS,50,25,5,0.8,1.0,6,55.87651898427121
OLS,50,25,5,0.8,1.0,7,78.30878708140662
OLS,50,25,5,0.8,1.0,8,31.876557659670002
OLS,50,25,5,0.8,1.0,9,48.555497479985604
OLS,50,25,5,0.8,1.0,10,32.5167425417821
OLS,50,25,5,0.8,1.0,11,258.95140809234914
OLS,50,25,5,0.8,1.0,12,21.43742692998761
OLS,50,25,5,0.8,1.0,13,21.47911384895948
OLS,50,25,5,0.8,1.0,14,95.86760995359253
OLS,50,25,5,0.8,1.0,15,631.8658025949684
OLS,50,25,5,0.8,1.0,16,143.38298659774478
OLS,50,25,5,0.8,1.0,17,112.57931763533712
OLS,50,25,5,0.8,1.0,18,114.86861360433365
OLS,50,25,5,0.8,1.0,19,162.63715826670892
LAD,50,25,5,0.8,1.0,0,38.98745442678628
LAD,50,25,5,0.8,1.0,1,32.85203586664686
LAD,50,25,5,0.8,1.0,2,20.065831651066762
LAD,50,25,5,0.8,1.0,3,26.867705987540855
LAD,50,25,5,0.8,1.0,4,14.991279868094406
LAD,50,25,5,0.8,1.0,5,22.176488936469802
LAD,50,25,5,0.8,1.0,6,24.52832409330512
LAD,50,25,5,0.8,1.0,7,39.94486339999741
LAD,50,25,5,0.8,1.0,8,46.58171548934991
LAD,50,25,5,0.8,1.0,9,24.213776789908607
LAD,50,25,5,0.8,1.0,10,18.922624721119274
LAD,50,25,5,0.8,1.0,11,23.489862581813
LAD,50,25,5,0.8,1.0,12,12.322046088510174
LAD,50,25,5,0.8,1.0,13,21.427094148833472
LAD,50,25,5,0.8,1.0,14,19.537805713334063
LAD,50,25,5,0.8,1.0,15,35.53252369792896
LAD,50,25,5,0.8,1.0,16,16.976613003444413
LAD,50,25,5,0.8,1.0,17,11.254811549239077
LAD,50,25,5,0.8,1.0,18,38.45183731875733
LAD,50,25,5,0.8,1.0,19,23.77577723905255
Huber,50,25,5,0.8,1.0,0,138.01960899275534
Huber,50,25,5,0.8,1.0,1,231.5173701195011
Huber,50,25,5,0.8,1.0,2,177.86882596987866
Huber,50,25,5,0.8,1.0,3,231.73611051430555
Huber,50,25,5,0.8,1.0,4,80.71280799229567
Huber,50,25,5,0.8,1.0,5,157.74141092254072
Huber,50,25,5,0.8,1.0,6,182.20784453994523
Huber,50,25,5,0.8,1.0,7,246.07082081916687
Huber,50,25,5,0.8,1.0,8,13.85017726457974
Huber,50,25,5,0.8,1.0,9,60.45012065595201
Huber,50,25,5,0.8,1.0,10,126.08893671202235
Huber,50,25,5,0.8,1.0,11,201.9632968131572
Huber,50,25,5,0.8,1.0,12,45.149515214624465
Huber,50,25,5,0.8,1.0,13,38.75322977600933
Huber,50,25,5,0.8,1.0,14,389.0071308890709
Huber,50,25,5,0.8,1.0,15,90.98811801399886
Huber,50,25,5,0.8,1.0,16,27.342857917443215
Huber,50,25,5,0.8,1.0,17,61.541104817792444
Huber,50,25,5,0.8,1.0,18,82.50050184506965
Huber,50,25,5,0.8,1.0,19,180.36782640049057
OLS,50,25,5,0.8,3.0,0,6.593924578736629
OLS,50,25,5,0.8,3.0,1,147.6859353641661
OLS,50,25,5,0.8,3.0,2,62.836109066317285
OLS,50,25,5,0.8,3.0,3,32.06788054451762
OLS,50,25,5,0.8,3.0,4,23.25776332360234
OLS,50,25,5,0.8,3.0,5,27.440289383591015
OLS,50,25,5,0.8,3.0,6,10.252740686157251
OLS,50,25,5,0.8,3.0,7,57.834141512112815
OLS,50,25,5,0.8,3.0,8,37.15237282075285
OLS,50,25,5,0.8,3.0,9,115.43539547817227
OLS,50,25,5,0.8,3.0,10,44.5263701219287
OLS,50,25,5,0.8,3.0,11,8.36977167151874
OLS,50,25,5,0.8,3.0,12,36.11639676560438
OLS,50,25,5,0.8,3.0,13,9.333946019875945
OLS,50,25,5,0.8,3.0,14,41.3450181273315
OLS,50,25,5,0.8,3.0,15,25.61244102787232
OLS,50,25,5,0.8,3.0,16,9.4131603564686
OLS,50,25,5,0.8,3.0,17,18.001429080085593
OLS,50,25,5,0.8,3.0,18,29.788606283788024
OLS,50,25,5,0.8,3.0,19,31.950915277088615
LAD,50,25,5,0.8,3.0,0,29.12454281441325
LAD,50,25,5,0.8,3.0,1,30.312029960085216
LAD,50,25,5,0.8,3.0,2,20.505571378698697
LAD,50,25,5,0.8,3.0,3,20.257352698645896
LAD,50,25,5,0.8,3.0,4,40.301486141901904
LAD,50,25,5,0.8,3.0,5,22.279918274868827
LAD,50,25,5,0.8,3.0,6,23.332445565988404
LAD,50,25,5,0.8,3.0,7,30.943843592798178
LAD,50,25,5,0.8,3.0,8,10.2276859632305
LAD,50,25,5,0.8,3.0,9,19.945851693752203
LAD,50,25,5,0.8,3.0,10,38.15597917443475
LAD,50,25,5,0.8,3.0,11,22.426064335722373
LAD,50,25,5,0.8,3.0,12,25.33678563377441
LAD,50,25,5,0.8,3.0,13,44.42055073637904
LAD,50,25,5,0.8,3.0,14,23.395625678466086
LAD,50,25,5,0.8,3.0,15,19.037281806024797
LAD,50,25,5,0.8,3.0,16,30.922358541542273
LAD,50,25,5,0.8,3.0,17,24.704706145340932
LAD,50,25,5,0.8,3.0,18,34.91251889590701
LAD,50,25,5,0.8,3.0,19,22.10876648040913
Huber,50,25,5,0.8,3.0,0,59.60112920389679
Huber,50,25,5,0.8,3.0,1,23.80056321118104
Huber,50,25,5,0.8,3.0,2,76.54392154374702
Huber,50,25,5,0.8,3.0,3,30.422134203804806
Huber,50,25,5,0.8,3.0,4,44.70889051234962
Huber,50,25,5,0.8,3.0,5,141.8199164307198
Huber,50,25,5,0.8,3.0,6,57.56629184071058
Huber,50,25,5,0.8,3.0,7,79.3354949400001
Huber,50,25,5,0.8,3.0,8,26.828154490236795
Huber,50,25,5,0.8,3.0,9,57.82333534331085
Huber,50,25,5,0.8,3.0,10,27.493439403522565
Huber,50,25,5,0.8,3.0,11,129.5430843250466
Huber,50,25,5,0.8,3.0,12,24.816973616737446
Huber,50,25,5,0.8,3.0,13,20.43167183727956
Huber,50,25,5,0.8,3.0,14,44.56601844625411
Huber,50,25,5,0.8,3.0,15,23.689944094811263
Huber,50,25,5,0.8,3.0,16,16.779950463774473
Huber,50,25,5,0.8,3.0,17,8.879789917295938
Huber,50,25,5,0.8,3.0,18,9.62874071430992
Huber,50,25,5,0.8,3.0,19,11.077765659115038
OLS,50,25,5,0.8,5.0,0,29.57051986648658
OLS,50,25,5,0.8,5.0,1,14.413897519437079
OLS,50,25,5,0.8,5.0,2,18.871899791576976
OLS,50,25,5,0.8,5.0,3,9.9870321213751
OLS,50,25,5,0.8,5.0,4,18.3138988405952
OLS,50,25,5,0.8,5.0,5,10.746115527506483
OLS,50,25,5,0.8,5.0,6,18.898590181394084
OLS,50,25,5,0.8,5.0,7,6.275537414760893
OLS,50,25,5,0.8,5.0,8,11.255467559443556
OLS,50,25,5,0.8,5.0,9,35.360782730354906
OLS,50,25,5,0.8,5.0,10,26.550261022205735
OLS,50,25,5,0.8,5.0,11,2.699289748501643
OLS,50,25,5,0.8,5.0,12,10.369436221831021
OLS,50,25,5,0.8,5.0,13,3.146748235706074
OLS,50,25,5,0.8,5.0,14,8.660814613905307
OLS,50,25,5,0.8,5.0,15,10.244308217336572
OLS,50,25,5,0.8,5.0,16,5.735711177655579
OLS,50,25,5,0.8,5.0,17,25.911113691288666
OLS,50,25,5,0.8,5.0,18,77.19883506581343
OLS,50,25,5,0.8,5.0,19,33.18653622482006
LAD,50,25,5,0.8,5.0,0,33.7613105071831
LAD,50,25,5,0.8,5.0,1,41.353931451841476
LAD,50,25,5,0.8,5.0,2,28.873637137221895
LAD,50,25,5,0.8,5.0,3,28.013856424707537
LAD,50,25,5,0.8,5.0,4,25.221654374501796
LAD,50,25,5,0.8,5.0,5,21.376551481519957
LAD,50,25,5,0.8,5.0,6,36.462777476506325
LAD,50,25,5,0.8,5.0,7,33.301103637967394
LAD,50,25,5,0.8,5.0,8,18.300742069743677
LAD,50,25,5,0.8,5.0,9,25.529508998023633
LAD,50,25,5,0.8,5.0,10,26.23165296305964
LAD,50,25,5,0.8,5.0,11,32.471386328631326
LAD,50,25,5,0.8,5.0,12,23.810542887366342
LAD,50,25,5,0.8,5.0,13,31.279804634207103
LAD,50,25,5,0.8,5.0,14,28.93947593259574
LAD,50,25,5,0.8,5.0,15,25.319368567364187
LAD,50,25,5,0.8,5.0,16,24.366225052705957
LAD,50,25,5,0.8,5.0,17,12.474983027881757
LAD,50,25,5,0.8,5.0,18,31.588290496487158
LAD,50,25,5,0.8,5.0,19,34.674191601555265
Huber,50,25,5,0.8,5.0,0,84.42748781154374
Huber,50,25,5,0.8,5.0,1,110.26312677855249
Huber,50,25,5,0.8,5.0,2,30.46798246692302
Huber,50,25,5,0.8,5.0,3,7.715843840305967
Huber,50,25,5,0.8,5.0,4,14.323028075049084
Huber,50,25,5,0.8,5.0,5,11.979857526362167
Huber,50,25,5,0.8,5.0,6,22.87761523849597
Huber,50,25,5,0.8,5.0,7,19.584330810149197
Huber,50,25,5,0.8,5.0,8,12.44476764785528
Huber,50,25,5,0.8,5.0,9,15.452278415266608
Huber,50,25,5,0.8,5.0,10,15.772698948363065
Huber,50,25,5,0.8,5.0,11,4.755781314284116
Huber,50,25,5,0.8,5.0,12,89.1488304062519
Huber,50,25,5,0.8,5.0,13,14.00476219449313
Huber,50,25,5,0.8,5.0,14,29.138017071020705
Huber,50,25,5,0.8,5.0,15,88.26319512426622
Huber,50,25,5,0.8,5.0,16,33.90333917641109
Huber,50,25,5,0.8,5.0,17,39.20395445944527
Huber,50,25,5,0.8,5.0,18,38.410316760648186
Huber,50,25,5,0.8,5.0,19,22.27619729846712
OLS,50,25,10,0.8,1.0,0,78.32339006194657
OLS,50,25,10,0.8,1.0,1,27.01054602930224
OLS,50,25,10,0.8,1.0,2,153.9149979657019
OLS,50,25,10,0.8,1.0,3,171.0662822696161
OLS,50,25,10,0.8,1.0,4,59.63922155258206
OLS,50,25,10,0.8,1.0,5,116.4000321345927
OLS,50,25,10,0.8,1.0,6,221.5800903262036
OLS,50,25,10,0.8,1.0,7,102.02028150068581
OLS,50,25,10,0.8,1.0,8,183.10614661681907
OLS,50,25,10,0.8,1.0,9,43.40826401514359
OLS,50,25,10,0.8,1.0,10,13.629196586943921
OLS,50,25,10,0.8,1.0,11,130.31894308102255
OLS,50,25,10,0.8,1.0,12,147.97473494772026
OLS,50,25,10,0.8,1.0,13,79.61954419110906
OLS,50,25,10,0.8,1.0,14,94.35220167287929
OLS,50,25,10,0.8,1.0,15,144.29830605818697
OLS,50,25,10,0.8,1.0,16,58.360015259919024
OLS,50,25,10,0.8,1.0,17,39.4603253685013
OLS,50,25,10,0.8,1.0,18,69.03485301047976
OLS,50,25,10,0.8,1.0,19,158.21335905272423
LAD,50,25,10,0.8,1.0,0,27.648727492996777
LAD,50,25,10,0.8,1.0,1,25.70370787909933
LAD,50,25,10,0.8,1.0,2,18.443635503695997
LAD,50,25,10,0.8,1.0,3,21.521133551461585
LAD,50,25,10,0.8,1.0,4,25.97827385183051
LAD,50,25,10,0.8,1.0,5,18.02526866806107
LAD,50,25,10,0.8,1.0,6,28.715047073341257
LAD,50,25,10,0.8,1.0,7,21.48209167410433
LAD,50,25,10,0.8,1.0,8,30.47037779976246
LAD,50,25,10,0.8,1.0,9,19.855001503123596
LAD,50,25,10,0.8,1.0,10,20.38806911525885
LAD,50,25,10,0.8,1.0,11,24.92987539661049
LAD,50,25,10,0.8,1.0,12,19.577982923284754
LAD,50,25,10,0.8,1.0,13,16.126934491949793
LAD,50,25,10,0.8,1.0,14,30.453511973643714
LAD,50,25,10,0.8,1.0,15,15.543864695250246
LAD,50,25,10,0.8,1.0,16,19.163125546425608
LAD,50,25,10,0.8,1.0,17,19.56209909635166
LAD,50,25,10,0.8,1.0,18,23.59951077731086
LAD,50,25,10,0.8,1.0,19,20.97877919847779
Huber,50,25,10,0.8,1.0,0,80.8010592361412
Huber,50,25,10,0.8,1.0,1,140.84895527468123
Huber,50,25,10,0.8,1.0,2,83.4278257245521
Huber,50,25,10,0.8,1.0,3,160.89920510887669
Huber,50,25,10,0.8,1.0,4,27.912486122621623
Huber,50,25,10,0.8,1.0,5,565.9569606519769
Huber,50,25,10,0.8,1.0,6,113.73927612707122
Huber,50,25,10,0.8,1.0,7,118.74075141733141
Huber,50,25,10,0.8,1.0,8,56.455826093428946
Huber,50,25,10,0.8,1.0,9,86.85364819841973
Huber,50,25,10,0.8,1.0,10,78.08312673978743
Huber,50,25,10,0.8,1.0,11,281.4438155485356
Huber,50,25,10,0.8,1.0,12,135.57492988611054
Huber,50,25,10,0.8,1.0,13,242.162056056203
Huber,50,25,10,0.8,1.0,14,79.96558836255406
Huber,50,25,10,0.8,1.0,15,62.29629787459848
Huber,50,25,10,0.8,1.0,16,143.2822513355116
Huber,50,25,10,0.8,1.0,17,121.13986126938448
Huber,50,25,10,0.8,1.0,18,278.64784688202343
Huber,50,25,10,0.8,1.0,19,173.46867653932017
OLS,50,25,10,0.8,3.0,0,93.24573632433892
OLS,50,25,10,0.8,3.0,1,72.14828751276931
OLS,50,25,10,0.8,3.0,2,44.11989515121002
OLS,50,25,10,0.8,3.0,3,40.96546277448982
OLS,50,25,10,0.8,3.0,4,78.36936785209251
OLS,50,25,10,0.8,3.0,5,37.047820586823306
OLS,50,25,10,0.8,3.0,6,15.90779876656616
OLS,50,25,10,0.8,3.0,7,90.78046553823715
OLS,50,25,10,0.8,3.0,8,126.87981264282047
OLS,50,25,10,0.8,3.0,9,41.30438857221942
OLS,50,25,10,0.8,3.0,10,33.85147687081289
OLS,50,25,10,0.8,3.0,11,7.08392527550918
OLS,50,25,10,0.8,3.0,12,59.888116582904736
OLS,50,25,10,0.8,3.0,13,45.24375889136904
OLS,50,25,10,0.8,3.0,14,13.872939678401329
OLS,50,25,10,0.8,3.0,15,19.93908058238514
OLS,50,25,10,0.8,3.0,16,30.43330183916528
OLS,50,25,10,0.8,3.0,17,75.58304452857399
OLS,50,25,10,0.8,3.0,18,19.587715308417646
OLS,50,25,10,0.8,3.0,19,9.508719910118009
LAD,50,25,10,0.8,3.0,0,21.07554458033597
LAD,50,25,10,0.8,3.0,1,27.23395503544006
LAD,50,25,10,0.8,3.0,2,22.304311952269703
LAD,50,25,10,0.8,3.0,3,25.41796210199112
LAD,50,25,10,0.8,3.0,4,15.962960441194447
LAD,50,25,10,0.8,3.0,5,21.97327206722536
LAD,50,25,10,0.8,3.0,6,16.623528953739033
LAD,50,25,10,0.8,3.0,7,22.143633592084157
LAD,50,25,10,0.8,3.0,8,22.86474124064151
LAD,50,25,10,0.8,3.0,9,33.72115411143776
LAD,50,25,10,0.8,3.0,10,11.75931597240925
LAD,50,25,10,0.8,3.0,11,33.02531019206287
LAD,50,25,10,0.8,3.0,12,35.27442941657083
LAD,50,25,10,0.8,3.0,13,23.247179497656152
LAD,50,25,10,0.8,3.0,14,17.415977494064418
LAD,50,25,10,0.8,3.0,15,15.692945211820813
LAD,50,25,10,0.8,3.0,16,23.571773267163223
LAD,50,25,10,0.8,3.0,17,25.54953283895738
LAD,50,25,10,0.8,3.0,18,34.623027336782144
LAD,50,25,10,0.8,3.0,19,37.451221021294195
Huber,50,25,10,0.8,3.0,0,36.06338709648935
Huber,50,25,10,0.8,3.0,1,64.00863470654184
Huber,50,25,10,0.8,3.0,2,39.19260041413155
Huber,50,25,10,0.8,3.0,3,21.615789579783137
Huber,50,25,10,0.8,3.0,4,92.92067251171945
Huber,50,25,10,0.8,3.0,5,80.22209270021459
Huber,50,25,10,0.8,3.0,6,83.03773249705453
Huber,50,25,10,0.8,3.0,7,25.964116549171536
Huber,50,25,10,0.8,3.0,8,5.591080218279403
Huber,50,25,10,0.8,3.0,9,117.3322220586009
Huber,50,25,10,0.8,3.0,10,135.74918723706867
Huber,50,25,10,0.8,3.0,11,518.3668607645883
Huber,50,25,10,0.8,3.0,12,86.62453320145035
Huber,50,25,10,0.8,3.0,13,52.41327533222115
Huber,50,25,10,0.8,3.0,14,69.74053621609531
Huber,50,25,10,0.8,3.0,15,31.930704680609843
Huber,50,25,10,0.8,3.0,16,20.24119180741701
Huber,50,25,10,0.8,3.0,17,25.289408646796538
Huber,50,25,10,0.8,3.0,18,88.68408987931709
Huber,50,25,10,0.8,3.0,19,43.88641386881702
OLS,50,25,10,0.8,5.0,0,13.684122315379579
OLS,50,25,10,0.8,5.0,1,10.494693081085302
OLS,50,25,10,0.8,5.0,2,14.872002777578947
OLS,50,25,10,0.8,5.0,3,7.4822542555863745
OLS,50,25,10,0.8,5.0,4,12.641135335564854
OLS,50,25,10,0.8,5.0,5,21.462749898828182
OLS,50,25,10,0.8,5.0,6,3.8614488935626223
OLS,50,25,10,0.8,5.0,7,10.1073372245104
OLS,50,25,10,0.8,5.0,8,27.094708196878138
OLS,50,25,10,0.8,5.0,9,31.809312879221686
OLS,50,25,10,0.8,5.0,10,44.5293819648683
OLS,50,25,10,0.8,5.0,11,42.50326483265262
OLS,50,25,10,0.8,5.0,12,26.215515714822782
OLS,50,25,10,0.8,5.0,13,12.96716871577659
OLS,50,25,10,0.8,5.0,14,34.00899400829133
OLS,50,25,10,0.8,5.0,15,14.53582159806252
OLS,50,25,10,0.8,5.0,16,27.19058373529642
OLS,50,25,10,0.8,5.0,17,21.61636692357373
OLS,50,25,10,0.8,5.0,18,12.453368205109982
OLS,50,25,10,0.8,5.0,19,16.337693636090243
LAD,50,25,10,0.8,5.0,0,21.602920547792472
LAD,50,25,10,0.8,5.0,1,28.10686410266399
LAD,50,25,10,0.8,5.0,2,11.681269715175036
LAD,50,25,10,0.8,5.0,3,31.29444470250959
LAD,50,25,10,0.8,5.0,4,25.19216034127675
LAD,50,25,10,0.8,5.0,5,24.458790595684427
LAD,50,25,10,0.8,5.0,6,24.151006866932242
LAD,50,25,10,0.8,5.0,7,15.164580134771036
LAD,50,25,10,0.8,5.0,8,20.12324852160767
LAD,50,25,10,0.8,5.0,9,21.75837348890644
LAD,50,25,10,0.8,5.0,10,41.307957142201914
LAD,50,25,10,0.8,5.0,11,26.467816571296154
LAD,50,25,10,0.8,5.0,12,29.44418769409916
LAD,50,25,10,0.8,5.0,13,14.266196468189008
LAD,50,25,10,0.8,5.0,14,21.08879724916655
